Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-01-22 00:00:00-05:00,0.4013196416987198,0.4479011671226155,0.3559324470697398,0.3762369453907013,271468800,0.0,0.0
1999-01-25 00:00:00-05:00,0.4060970808370712,0.4204299302409787,0.3762370781506465,0.41565263271331787,51048000,0.0,0.0
1999-01-26 00:00:00-05:00,0.42042988312020463,0.4287911028429955,0.37743133972765586,0.3834038972854614,34320000,0.0,0.0
1999-01-27 00:00:00-05:00,0.3845982338795757,0.39415378482179836,0.3630984971336516,0.3822095990180969,24436800,0.0,0.0
1999-01-28 00:00:00-05:00,0.38220957216177526,0.3845982068554143,0.3786256496316843,0.38101524114608765,22752000,0.0,0.0
1999-01-29 00:00:00-05:00,0.38101517937325874,0.38220951019531313,0.3630984127521515,0.3630984127521515,24403200,0.0,0.0
1999-02-01 00:00:00-05:00,0.3630984178638984,0.3726539667200035,0.3630984178638984,0.37026530504226685,15470400,0.0,0.0
1999-02-02 00:00:00-05:00,0.3630985425917799,0.3726540947303101,0.33084987658748394,0.3415997326374054,26409600,0.0,0.0
1999-02-03 00:00:00-05:00,0.3368222990479828,0.35354380459530665,0.3344327080308695,0.3487655520439148,7512000,0.0,0.0
1999-02-04 00:00:00-05:00,0.3535439194431479,0.3774313626776218,0.3487656653395524,0.3678767681121826,18192000,0.0,0.0
1999-02-05 00:00:00-05:00,0.37384830541198133,0.38220952360485494,0.36429275635515107,0.3786256015300751,13684800,0.0,0.0
1999-02-08 00:00:00-05:00,0.38101532312754377,0.3822096544002106,0.3654881417751312,0.3654881417751312,15408000,0.0,0.0
1999-02-09 00:00:00-05:00,0.3726540591672776,0.3750427214375888,0.34637702457856745,0.35115525126457214,8697600,0.0,0.0
1999-02-10 00:00:00-05:00,0.35115514827629957,0.36070976721758635,0.34159959985216426,0.3475712537765503,14822400,0.0,0.0
1999-02-11 00:00:00-05:00,0.3487656655148758,0.39176421154359514,0.3487656655148758,0.37743136286735535,13224000,0.0,0.0
1999-02-12 00:00:00-05:00,0.38220957447060633,0.40131971830686713,0.38220957447060633,0.3989310562610626,10972800,0.0,0.0
1999-02-16 00:00:00-05:00,0.40609700908399915,0.4228194474491127,0.36070983379675325,0.4013197124004364,21100800,0.0,0.0
1999-02-17 00:00:00-05:00,0.3917641071715604,0.3965423600045573,0.37265396630143743,0.379820853471756,6772800,0.0,0.0
1999-02-18 00:00:00-05:00,0.3917641511426628,0.39654240451196465,0.37504267007079606,0.3857925236225128,7070400,0.0,0.0
1999-02-19 00:00:00-05:00,0.38220957447060633,0.4060970150607398,0.3774313208959636,0.3989310562610626,7536000,0.0,0.0
1999-02-22 00:00:00-05:00,0.40609700908399915,0.41087526258831786,0.3798209068347802,0.4013197124004364,20524800,0.0,0.0
1999-02-23 00:00:00-05:00,0.41087526222638915,0.4287910747602899,0.3869868651881062,0.42042985558509827,13809600,0.0,0.0
1999-02-24 00:00:00-05:00,0.4825395118704356,0.5016496844369195,0.44312396081991423,0.4538738429546356,61276800,0.0,0.0
1999-02-25 00:00:00-05:00,0.4729839105049036,0.4873167562777795,0.4323740350138418,0.43954092264175415,14913600,0.0,0.0
1999-02-26 00:00:00-05:00,0.44431822676020005,0.4586510727847226,0.4156525347111549,0.4192355275154114,17260800,0.0,0.0
1999-03-01 00:00:00-05:00,0.42998540277178104,0.4395409528847368,0.40131970925366234,0.42162418365478516,9216000,0.0,0.0
1999-03-02 00:00:00-05:00,0.42042989393908337,0.42281948564863986,0.4108752997087503,0.41804125905036926,5524800,0.0,0.0
1999-03-03 00:00:00-05:00,0.420429899033939,0.420429899033939,0.3869869051808195,0.38937556743621826,6139200,0.0,0.0
